sku,cross_selling,similar_products
NAW17-177A,"NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
",NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
NAW17-564A,NAW17-177A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
NAW17-740A,NAW17-177A;NAW17-564A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
NAW17-686A,NAW17-177A;NAW17-564A;NAW17-740A;NIW17-354P;NIW17-192P;NSS18-068,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
NIW17-354P,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-192P;NSS18-068,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
NIW17-192P,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NSS18-068,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
NSS18-068,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P,NAW17-177A;NAW17-564A;NAW17-740A;NAW17-686A;NIW17-354P;NIW17-192P;NSS18-068
